experiment_id,sample_id,model_id,batch,true_class,reference_prediction,export_prediction,reference_margin,reference_confidence,agreement,boundary_case
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00000,MODEL-C1,2,1,1,1,0.8904464559989832,0.914208755865913,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00121,MODEL-C1,2,2,1,1,0.2766682930715628,0.6245456345243792,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00218,MODEL-C1,2,1,2,2,1.0,1.0,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00231,MODEL-C1,2,1,1,1,0.0761709655114233,0.3908700487395514,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00469,MODEL-C1,2,4,6,6,0.1705599184211703,0.5360877801403019,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00473,MODEL-C1,2,6,6,6,0.4663626652239299,0.6474438582771068,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00495,MODEL-C1,2,2,1,1,0.0070638407106838,0.5035285796117553,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00540,MODEL-C1,2,3,1,1,0.0010022817976618,0.5004983750423656,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B2-R00778,MODEL-C1,2,5,5,5,0.0047497328791268,0.3584592299005199,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00000,MODEL-C1,6,2,2,2,0.999999998072586,0.9999999990203574,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00387,MODEL-C1,6,3,1,1,0.9078000016983032,0.952829000765461,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00492,MODEL-C1,6,3,1,1,0.0275326250470565,0.5088651723868715,True,False
