claim_id,candidate_claim,experiment_id,dataset_hash,split_hash,config_hash,metric,result_artifact,figure,git_commit,status
C001,The independently acquired dataset passed structural validation,DATA-AUDIT-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,,validation,results/reproducibility/dataset_validation.json,,c2e2d1a1fc0e20e3169d61f594e5938dffe9cb29,SUPPORTED
C002,Raw features have measured distribution differences relative to batch 1,DRIFT-FIXED-B1-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,417dcd405cba12578e24dd1739efc7a98d1bfc302b3e5eaf77aedb227523ff21,c8fb6a612ee6f2949d41bbd0eee9a92d96724298e5097ddc8a076fda356bec23,normalized_wasserstein,results/drift/feature_drift_by_batch.csv,2-5,c2e2d1a1fc0e20e3169d61f594e5938dffe9cb29,SUPPORTED
C003,All evaluated classical models have lower B10 than B2 accuracy,BASE-FIXED-C1-001–C4-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,accuracy,results/baselines/fixed_origin_summary.csv,9,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,SUPPORTED
C004,Expanding-window retraining improves mean accuracy for all evaluated models,BASE-EXPAND-C1-001–C4-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,accuracy_change,results/baselines/expanding_vs_fixed.csv,11,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,SUPPORTED
C005,IID diagnostic accuracy exceeds mean fixed-origin future accuracy for all evaluated models,BASE-IID-C1-001–C4-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,accuracy_gap,results/baselines/iid_generalization_gap.csv,12,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,SUPPORTED
C006,Global drift has a consistent statistically supported association with performance,BASE-FIXED-C1-001–C4-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,Spearman,results/baselines/drift_performance_correlations.csv,13,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,UNSUPPORTED
C007,Some batch-2 predictive features combine above-median importance with below-median drift,BASE-FIXED-C2-001,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,,482cda5017de24d298a279d658ab306b2b5f06f43b5df622e3bc1b5f13fb5389,permutation_importance_macro_f1,results/baselines/feature_drift_vs_importance.csv,14,5a9fd6204ec7d0becf6b95cbab2071075a3ff5ae,SUPPORTED
C008,"Global permutation-importance (macro-F1) rankings and single-feature-ablation local explanations were generated for all four evidence-selected FIXED_ORIGIN models across all nine evaluation batches, with no unjustified explanation method forced onto an incapable model",EXP-XAI-0001-C1–C4,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,92158c5601eb7a96812e316affec214d5ed1e694e43df45d193d81835da820ab,permutation_importance_macro_f1,results/xai/stage09_global_importance.csv,,48160ce8612d1c818cdf69a503bdb99123855e76,SUPPORTED
C009,"Behavioral fidelity metrics were executed for 880 frozen model/sample/top-k combinations under the Stage 10 protocol; these descriptive results do not establish a universal fidelity threshold",EXP-FID-0001-C1–C4,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,c39882f58b574027d0e221825676d3c82e79b78a41317e6159355190b2ea2105,behavioral_fidelity,results/xai/stage10_fidelity_summary.csv,,54ab3e7711324187d99a476ff25958ac9f2e6996,SUPPORTED
C010,"For every evaluated model, none of batches 3-10 retained the same top-1 permutation-importance feature as batch 2; mean full-rank Spearman correlation to batch 2 ranged from 0.027 to 0.322",EXP-STAB-0001-C1–C4,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,f9b02fc305dfd41b275a06df079212ed8b1abfa02944d9851fd521e00d0b26a0,explanation_stability,results/xai/stage11_stability_summary.csv,,d571b4301819db27fce1eba9485edac0eb58645d,SUPPORTED
C011,"On the captured shared GitHub runner, median vectorized single-feature-ablation latency was 0.834 ms (MODEL-C1), 81.815 ms (MODEL-C2), 2.263 ms (MODEL-C3), and 1.166 ms (MODEL-C4); these are not on-device timings",EXP-LAT-0001-C1–C4,dc9dbcfc4c8eedceae4418d8f2096605ccb2b3bd554a3134f84c46d22b0615e6,5f3ceed0e1c14ff404d9167517b124493d2df882f179fa953c67d5483246a8ae,44eace6c951d8fb2637e1ef1849b7595c8075971a4ea6378133caeaa91850c38,host_latency,results/xai/stage12_host_latency_summary.csv,,fca7eef8424991d9ce8a8aa75400d824b619d591,SUPPORTED
