model_id,export_path,model_type_supported,preprocessing_supported,probability_output_supported,required_runtime,dynamic_memory_required,static_memory_possible,floating_point_required,integer_quantization_possible,requires_model_internals,requires_external_library,library_version,license,expected_implementation_complexity,verification_difficulty,embedded_feasibility_state,selection_status,reason
MODEL-C1,MANUAL_STATIC_PARAMETERS,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,LOW,MEDIUM,UNTESTED_ANALYTICALLY_PLAUSIBLE,SELECTED,Direct multiclass linear scores plus stable softmax; transparent constants.
MODEL-C1,CMSIS_DSP,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,CMSIS_DSP,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,True,TBD_BEFORE_EXPORT,TBD_BEFORE_EXPORT,LOW,MEDIUM,UNTESTED_ANALYTICALLY_PLAUSIBLE,DEFERRED,Optional matrix kernels; unnecessary for first equivalence implementation.
MODEL-C1,ONNX_INTERMEDIATE,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,ONNX_INTERMEDIATE,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,True,TBD_BEFORE_EXPORT,TBD_BEFORE_EXPORT,LOW,MEDIUM,UNTESTED_ANALYTICALLY_PLAUSIBLE,VALIDATION_ONLY,May validate conversion later; not an MCU runtime.
MODEL-C2,GENERATED_TREE_CODE,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,SELECTED,Direct static tree traversal is representable; compiled size remains unknown.
MODEL-C2,CUSTOM_EMBEDDED_KERNEL,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,DEFERRED,Possible static node arrays; higher verification complexity.
MODEL-C2,ONNX_INTERMEDIATE,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,ONNX_INTERMEDIATE,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,True,TBD_BEFORE_EXPORT,TBD_BEFORE_EXPORT,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,VALIDATION_ONLY,Intermediate validation only.
MODEL-C3,GENERATED_SVM_CODE,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,DEFERRED,131 RBF support vectors are representable but kernel/probability semantics are difficult.
MODEL-C3,CUSTOM_EMBEDDED_KERNEL,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,DEFERRED,Requires exact RBF and pairwise multiclass/probability coupling.
MODEL-C3,ONNX_INTERMEDIATE,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,ONNX_INTERMEDIATE,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,True,TBD_BEFORE_EXPORT,TBD_BEFORE_EXPORT,HIGH,HIGH,UNTESTED_ANALYTICALLY_PLAUSIBLE,VALIDATION_ONLY,Intermediate validation only.
MODEL-C4,DIRECT_C_CPP,ANALYTICALLY_PLAUSIBLE,DIRECT_STATIC_STANDARDIZATION,REQUIRES_EQUIVALENCE_VALIDATION,NONE_CUSTOM_STATIC,False,True,INITIAL_FP32_PATH,FUTURE_MODEL_APPROPRIATE_EVALUATION,True,False,NOT_APPLICABLE,PROJECT_LICENSE,MEDIUM,MEDIUM,UNTESTED_ANALYTICALLY_PLAUSIBLE,SELECTED,Dense 128-64-32-6 ReLU network can use static arrays and buffers.
