experiment_id,sample_id,k,reference_indices,fused_indices,set_agreement,ordered_agreement,jaccard,max_rank_displacement
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,1,[106],[106],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,3,"[106, 25, 89]","[106, 25, 89]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,5,"[106, 25, 89, 98, 81]","[106, 25, 89, 98, 81]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,10,"[106, 25, 89, 98, 81, 108, 42, 100, 34, 105]","[106, 25, 89, 98, 81, 108, 42, 100, 34, 105]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:0,20,"[106, 25, 89, 98, 81, 108, 42, 100, 34, 105, 26, 17, 107, 54, 27, 82, 101, 44, 91, 62]","[106, 25, 89, 98, 81, 108, 42, 100, 34, 105, 26, 17, 107, 54, 27, 82, 101, 44, 91, 62]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,1,[25],[25],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,3,"[25, 89, 106]","[25, 89, 106]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,5,"[25, 89, 106, 81, 112]","[25, 89, 106, 81, 112]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,10,"[25, 89, 106, 81, 112, 42, 17, 98, 105, 26]","[25, 89, 106, 81, 112, 42, 17, 98, 105, 26]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:1,20,"[25, 89, 106, 81, 112, 42, 17, 98, 105, 26, 54, 34, 27, 62, 91, 82, 55, 63, 88, 110]","[25, 89, 106, 81, 112, 42, 17, 98, 105, 26, 54, 34, 27, 62, 91, 82, 55, 63, 88, 110]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,1,[58],[58],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,3,"[58, 18, 50]","[58, 18, 50]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,5,"[58, 18, 50, 114, 26]","[58, 18, 50, 114, 26]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,10,"[58, 18, 50, 114, 26, 82, 19, 2, 122, 51]","[58, 18, 50, 114, 26, 82, 19, 2, 122, 51]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:70,20,"[58, 18, 50, 114, 26, 82, 19, 2, 122, 51, 20, 59, 83, 27, 74, 115, 10, 123, 66, 84]","[58, 18, 50, 114, 26, 82, 19, 2, 122, 51, 20, 59, 83, 27, 74, 115, 10, 123, 66, 84]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,1,[18],[18],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,3,"[18, 58, 50]","[18, 58, 50]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,5,"[18, 58, 50, 114, 26]","[18, 58, 50, 114, 26]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,10,"[18, 58, 50, 114, 26, 82, 19, 122, 20, 51]","[18, 58, 50, 114, 26, 82, 19, 122, 20, 51]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:71,20,"[18, 58, 50, 114, 26, 82, 19, 122, 20, 51, 83, 27, 59, 115, 123, 84, 31, 22, 28, 30]","[18, 58, 50, 114, 26, 82, 19, 122, 20, 51, 83, 27, 59, 115, 123, 84, 31, 22, 28, 30]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,1,[106],[106],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,3,"[106, 98, 25]","[106, 98, 25]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,5,"[106, 98, 25, 89, 42]","[106, 98, 25, 89, 42]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,10,"[106, 98, 25, 89, 42, 105, 81, 34, 108, 107]","[106, 98, 25, 89, 42, 105, 81, 34, 108, 107]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:121,20,"[106, 98, 25, 89, 42, 105, 81, 34, 108, 107, 100, 17, 54, 101, 97, 112, 66, 110, 26, 62]","[106, 98, 25, 89, 42, 105, 81, 34, 108, 107, 100, 17, 54, 101, 97, 112, 66, 110, 26, 62]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,1,[106],[106],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,3,"[106, 98, 25]","[106, 98, 25]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,5,"[106, 98, 25, 89, 42]","[106, 98, 25, 89, 42]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,10,"[106, 98, 25, 89, 42, 105, 112, 81, 34, 107]","[106, 98, 25, 89, 42, 105, 112, 81, 34, 107]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:122,20,"[106, 98, 25, 89, 42, 105, 112, 81, 34, 107, 108, 17, 66, 54, 97, 110, 111, 12, 62, 68]","[106, 98, 25, 89, 42, 105, 112, 81, 34, 107, 108, 17, 66, 54, 97, 110, 111, 12, 62, 68]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:135,1,[106],[106],True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:135,3,"[106, 98, 25]","[106, 98, 25]",True,True,1.0,0
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:135,5,"[106, 98, 25, 89, 108]","[106, 98, 25, 89, 108]",True,True,1.0,0
