claim_id,claim_text,status,required_evidence,supporting_artifacts
C001,The independently acquired dataset passed structural validation,SUPPORTED,validation,results/reproducibility/dataset_validation.json
C002,Raw features have measured distribution differences relative to batch 1,SUPPORTED,normalized_wasserstein,results/drift/feature_drift_by_batch.csv
C003,All evaluated classical models have lower B10 than B2 accuracy,SUPPORTED,accuracy,results/baselines/fixed_origin_summary.csv
C004,Expanding-window retraining improves mean accuracy for all evaluated models,SUPPORTED,accuracy_change,results/baselines/expanding_vs_fixed.csv
C005,IID diagnostic accuracy exceeds mean fixed-origin future accuracy for all evaluated models,SUPPORTED,accuracy_gap,results/baselines/iid_generalization_gap.csv
C006,Global drift has a consistent statistically supported association with performance,UNSUPPORTED,Spearman,results/baselines/drift_performance_correlations.csv
C007,Some batch-2 predictive features combine above-median importance with below-median drift,SUPPORTED,permutation_importance_macro_f1,results/baselines/feature_drift_vs_importance.csv
C008,"Global permutation-importance (macro-F1) rankings and single-feature-ablation local explanations were generated for all four evidence-selected FIXED_ORIGIN models across all nine evaluation batches, with no unjustified explanation method forced onto an incapable model",SUPPORTED,permutation_importance_macro_f1,results/xai/stage09_global_importance.csv
C-XAI-FID-01,Top-ranked features produced greater predictive degradation than matched random features for every tested model/method/batch/K combination.,UNSUPPORTED,selected_minus_random with CI,results/xai/stage10_fidelity_global.csv
C-XAI-FID-02,Explanation fidelity was constant across chronological drift batches.,UNSUPPORTED,batch-conditioned bootstrap CI,results/xai/stage10_bootstrap_ci.csv
C-XAI-FID-03,Explanation fidelity was equivalent for correct and misclassified predictions.,UNSUPPORTED,category-conditioned local fidelity,results/xai/stage10_fidelity_local.csv
C-XAI-STAB-01,Top-K explanation rankings remain more similar across adjacent batches than widely separated anchor comparisons.,UNSUPPORTED,adjacent_minus_far_anchor_jaccard_ci_low_gt_0,results/xai/stage11_global_rank_stability.csv
C-XAI-STAB-02,Explanation change increases as measured sensor-distribution shift increases across all eligible models.,UNSUPPORTED,explanation_distance_vs_input_change_spearman_ci_low_gt_0,results/xai/stage11_bootstrap_ci.csv
C-XAI-STAB-03,Explanation stability differs between correct and misclassified predictions.,UNSUPPORTED,correct_minus_misclassified_distance_ci_excludes_0,results/xai/stage11_local_neighbor_stability.csv
C-XAI-STAB-04,Physical sensor-level attribution change increases systematically with chronological input drift across eligible models.,UNSUPPORTED,sensor_distance_vs_input_change_spearman_ci_low_gt_0,results/xai/stage11_sensor_stability.csv
C-XAI-STAB-05,Stage-10 fidelity and Stage-11 stability are positively associated across matched model/method analyses.,UNSUPPORTED,matched_fidelity_stability_spearman_ci_low_gt_0,results/xai/stage11_fidelity_stability_link.csv
C-XAI-COST-01,Local explanation methods differ materially in host computational overhead relative to corresponding baseline inference.,SUPPORTED,At least one matched local-method overhead ratio differs by >=2x: True.,results/xai/stage12_claim_evaluation.csv
C-XAI-COST-02,A substantial fraction of local ablation cost is explained by repeated model evaluations.,UNRESOLVED,"Additional-call criterion=True; model-level Spearman rho=1.000, but positive bootstrap CI is not established with N=4 models.",results/xai/stage12_claim_evaluation.csv
C-XAI-COST-03,Intrinsic extraction has lower recurring host cost than perturbation-based generation within comparable global scope.,SUPPORTED,Intrinsic extraction is below permutation p05 for both applicable models: True.,results/xai/stage12_claim_evaluation.csv
C-XAI-COST-04,"No single method dominates simultaneously on fidelity, stability, and host computational cost.",UNRESOLVED,Stage-10/11 method coverage is incomplete for a fully matched dominance test; no universal composite score was constructed.,results/xai/stage12_claim_evaluation.csv
C-EMBED-FP32-01,MODEL-C1 standalone FP32 implementation reproduces the frozen reference within all Stage-13 criteria.,UNSUPPORTED,all_preregistered_mandatory_criteria,results/embedded/stage14_claim_evaluation.csv
C-EMBED-FP32-02,MODEL-C4 standalone FP32 implementation reproduces the frozen reference within all Stage-13 criteria.,UNSUPPORTED,all_preregistered_mandatory_criteria,results/embedded/stage14_claim_evaluation.csv
C-EMBED-FP32-XAI-01,MODEL-C1 local coefficient explanation is reproduced within separately frozen explanation criteria.,UNSUPPORTED,all_preregistered_mandatory_criteria,results/embedded/stage14_claim_evaluation.csv
C-EMBED-C1-REPAIR-01,At least one prospectively defined all-FP32 explicit StandardScaler representation satisfies all frozen C1 criteria.,UNSUPPORTED,all_frozen_mandatory_criteria,results/embedded/stage14r_claim_evaluation.csv
C-EMBED-C1-REPAIR-XAI-01,The selected repaired C1 representation preserves local coefficient explanations within frozen criteria.,UNSUPPORTED,all_frozen_mandatory_criteria,results/embedded/stage14r_claim_evaluation.csv
